→‎Critical reception:C/E.,safe,DepressedPer,"{{Infobox album
| name       = The Voice
| type       = Studio
| artist     = [[Mike Jones (rapper)|Mike Jones]]
| cover      = Voice.PNG
| alt        = The cover shows a man wearing a black jacket, grey t-shirt, blue jeans and sunglasses in front of an apartment building. He's holding and speaking into a megaphone with light shining behind it.
| released   = {{Start date|2009|4|28}}
| recorded   = 2006&ndash;09
| venue      =
| studio     =
| genre      = [[Hip hop music|Hip hop]]
| length     = {{Duration|m=62|s=06}}
| label      = {{hlist|[[Asylum Records|Asylum]]|[[Ice Age Entertainment|Ice Age]]|[[Warner Bros. Records|Warner Bros.]]|[[Swishahouse]]}}
| producer   = {{hlist|Big E|[[Mike Dean (producer)|Mike Dean]]|Dat Boy Chyco|[[Jim Jonsin]]|[[Bigg D]]|Amadeus|[[Mr. Collipark]]|[[Mannie Fresh]]|[[J.R. Rotem]]|Swole|Essay Potna|Kojack|Myke Diesel}}
| prev_title = [[The American Dream (Mike Jones album)|The American Dream]]
| prev_year  = 2007
| next_title =
| next_year  =
| misc       = {{Singles
 | name        = The Voice
 | type        = Studio
 | single1     = [[Drop & Gimme 50]]
 | single1date = November 27, 2007
 | single2     = [[Cuddy Buddy]]
 | single2date = May 19, 2008
 | single3     = [[Next to You (Mike Jones song)|Next to You]]
 | single3date = December 2, 2008
 | single4     = [[Swagg Thru the Roof|Swagg Thru Da Roof]]
 | single4date = April 21, 2009
 | single5     = Boi!
 | single5date = September 23, 2009
}}
}}
'''''The Voice''''' is the third [[studio album]] by American rapper [[Mike Jones (rapper)|Mike Jones]]. It was released on April 28, 2009 by [[Asylum Records]], [[Ice Age Entertainment]], [[Warner Bros. Records]] and [[Swishahouse]].<ref>{{cite web |url=http://www.asylumrecords.com/mikejones/main |title=Archived copy |accessdate=February 10, 2010 |url-status=dead |archiveurl=https://web.archive.org/web/20100727000818/http://www.asylumrecords.com/mikejones/main |archivedate=July 27, 2010}} Mike Jones @ Asylum Records - Official Release Date</ref><ref>{{cite web|url=http://keepittrill.com/media/2009/03/mike-jones-explains-weight-loss-talks-album-voice/ |title=Mike Jones Explains Weight Loss, Talks New Album The Voice |website=Keepittrill.com |date=March 31, 2009 |accessdate=March 13, 2012}}</ref> Production was handled by several producers, including [[Jim Jonsin]], [[Mr. Collipark]], [[J.R. Rotem]] and Big E, among others. 

The album sold 25,000 copies in its first week, debuting at number 12 on the US [[Billboard 200|''Billboard'' 200]] on April 22, 2009. As of February 1, 2014, the album has sold 200,000 copies in the United States.

==Singles==
The album's lead single \"[[Drop & Gimme 50]]\" features [[Hurricane Chris (rapper)|Hurricane Chris]]. The album's second single \"[[Cuddy Buddy]]\" featuring [[T-Pain]], [[Twista]] and [[Lil Wayne]]. The album's third single \"[[Next to You (Mike Jones song)|Next to You]]\" featuring Nae Nae. The album's fourth single \"[[Swagg Thru The Roof]]\" featuring Swole. The album's fifth single \"Boi!\" featuring Young Problemz.

==Critical reception==
{{Album ratings
|rev1 = [[AllMusic]]
|rev1score = {{Rating|2.5|5}}<ref name=\"AM\">{{cite web|url={{Allmusic|class=album|id=mw0000818919|pure_url=yes}}|title=The Voice - Mike Jones|last=Jeffries|first=David|publisher=[[AllMusic]]|accessdate=August 9, 2011}}</ref>
|rev2 = DJBooth
|rev2score = {{Rating|2.5|5}}<ref name=\"DJB\">{{cite web|url=http://www.djbooth.net/index/albums/review/mike-jones-the-voice-04270901/|title=Mike Jones - The Voice|last=Slavik|first=Nathan|website=DJBooth|date=April 27, 2009|accessdate=August 9, 2011|archiveurl=https://web.archive.org/web/20120925125410/http://www.djbooth.net/index/albums/review/mike-jones-the-voice-04270901/|archivedate=September 25, 2012|url-status=dead}}</ref>
|rev3 = ''RapReviews''
|rev3score = 7/10<ref name=\"RR\">{{cite web|url=https://www.rapreviews.com/archive/2009_05F_thevoice.html|title=Feature for May 5, 2009 - Mike Jones' \"The Voice\"|last=Juon|first=Steve 'Flash'|website=RapReviews|date=May 5, 2009|accessdate=August 9, 2011}}</ref>
|rev4 = The Smoking Section
|rev4score = {{rating|2.5|5}}<ref>[http://smokingsection.uproxx.com/TSS/2009/05/next-to-you-review-of-mike-jones-the-voice The Smoking Section review]</ref>
}}
''The Voice'' garnered mixed reviews from [[Music journalism|music critic]]s. [[AllMusic]]'s David Jeffries gave praise to the album's three singles and \"Give Me a Call\" but felt the rest of the track listing contained \"redundant cuts and overdone party numbers\" with Jones' overused gimmicky catchphrases. He called the record a \"significant step up\" from ''[[The American Dream (Mike Jones album)|The American Dream]]'' EP.<ref name=\"AM\"/> Nathan Slavik of DJBooth highlighted both \"Next to You\" and \"Cuddy Buddy\" as potential radio chart-toppers but found the album going into \"unlistenable territory\" with tracks ranging from a \"half-baked\" dance craze (\"Drop & Gimmie 50\"), butchering of a celebratory anthem (\"Happy Birthday\") and full-on misogyny (\"Scandalous Hoes II\"). Slavik concluded by giving his take on Jones' next project: \"Sadly expectations will be low after ''The Voice'', here's hoping he truly delivers something unexpected.\"<ref name=\"DJB\"/> Conversely, Steve 'Flash' Juon from ''RapReviews'' praised Jones for delivering a decently paced album that has catchy beats to invigorate the collaborative tracks while also showcasing both his lyrical and vocal improvements from the past four years, concluding with \"Regardless of the reasons it's clear that Mike Jones is a more seasoned and polished pro of the rap game, and ''The Voice'' is planning to have a long career in hip-hop music. Let's hope there's no more politics and bullshit getting in the way of his career.\"<ref name=\"RR\"/>

==Track listing==
{{tracklist
| extra_column = Producer(s)

| title1       = Intro
| note1        =
| extra1       = 
| length1      = 0:48

| title2       = Swagger Right
| note2        = 
| extra2       = Big E
| length2      = 4:13

| title3       = Houston Oilers
| note3        = 
| extra3       = [[Mike Dean (record producer)|Mike Dean]]
| length3      = 4:36

| title4       = [[Boi!]]
| note4        = featuring Young Problemz
| extra4       = Dat Boy Chyco
| length4      = 4:17

| title5       = [[Cuddy Buddy]]
| note5        = featuring [[T-Pain]], [[Lil' Wayne]] & [[Twista]]
| extra5       = [[Jim Jonsin]], [[Bigg D]]
| length5      = 4:44

| title6       = I Know
| note6        = featuring [[Trey Songz]]
| extra6       = Amadeus
| length6      = 3:50

| title7       = [[Drop & Gimme 50]]
| note7        = featuring [[Hurricane Chris (rapper)|Hurricane Chris]]
| extra7       = [[Mr. Collipark]]
| length7      = 4:07

| title8       = Give Me a Call
| note8        = featuring [[Devin the Dude]]
| extra8       = [[Mannie Fresh]]
| length8      = 5:13

| title9       = Happy Birthday
| note9        = 
| extra9       = Mike Dean
| length9      = 4:30

| title10      = [[Next to You (Mike Jones song)|Next to You]]
| note10       = featuring Nae Nae
| extra10      = [[J. R. Rotem]]
| length10     = 3:42

| title11      = [[Swagg Thru the Roof]]
| note11       = featuring Swole
| extra11      = Swole
| length11     = 3:48

| title12      = On Top of the Covers
| note12       = featuring Essay Potna
| extra12      = Essay Potna
| length12     = 4:11

| title13      = Scandalous Hoes (skit)
| note13       = 
| extra13      = 
| length13     = 0:30

| title14      = Scandalous Hoes II
| note14       = featuring T-Pain
| extra14      = Kojack
| length14     = 3:50

| title15      = Hate on Me
| note15       = featuring Tanya Herron
| extra15      = Mike Dean
| length15     = 4:28

| title16      = Grandma II
| note16       = featuring Kai
| extra16      = Amadeus
| length16     = 5:29
}}
{{tracklist
| extra_column = Producer(s)
| collapsed    = yes
| headline     = [[iTunes]] bonus tracks

| title17      = I Got It
| note17       = featuring [[UGK]]
| extra17      = Myke Diesel
| length17     = 3:57

| title18      = Shit on Boyz
| note18       = featuring King Mello, [[Lil' Flip]] & Killa Kyleon
| extra18      = Mike Dean
| length18     = 4:55
}}

==References==
{{Reflist}}

{{Mike Jones}}

{{DEFAULTSORT:Voice, The}}
[[Category:2009 albums]]
[[Category:Mike Jones (rapper) albums]]
[[Category:Asylum Records albums]]
[[Category:Albums produced by Mike Dean (record producer)]]
[[Category:Albums produced by J.R. Rotem]]
[[Category:Albums produced by Jim Jonsin]]
[[Category:Albums produced by Mannie Fresh]]


{{2009-hiphop-album-stub}}","{{Infobox album
| name       = The Voice
| type       = Studio
| artist     = [[Mike Jones (rapper)|Mike Jones]]
| cover      = Voice.PNG
| alt        = The cover shows a man wearing a black jacket, grey t-shirt, blue jeans and sunglasses in front of an apartment building. He's holding and speaking into a megaphone with light shining behind it.
| released   = {{Start date|2009|4|28}}
| recorded   = 2006&ndash;09
| venue      =
| studio     =
| genre      = [[Hip hop music|Hip hop]]
| length     = {{Duration|m=62|s=06}}
| label      = {{hlist|[[Asylum Records|Asylum]]|[[Ice Age Entertainment|Ice Age]]|[[Warner Bros. Records|Warner Bros.]]|[[Swishahouse]]}}
| producer   = {{hlist|Big E|[[Mike Dean (producer)|Mike Dean]]|Dat Boy Chyco|[[Jim Jonsin]]|[[Bigg D]]|Amadeus|[[Mr. Collipark]]|[[Mannie Fresh]]|[[J.R. Rotem]]|Swole|Essay Potna|Kojack|Myke Diesel}}
| prev_title = [[The American Dream (Mike Jones album)|The American Dream]]
| prev_year  = 2007
| next_title =
| next_year  =
| misc       = {{Singles
 | name        = The Voice
 | type        = Studio
 | single1     = [[Drop & Gimme 50]]
 | single1date = November 27, 2007
 | single2     = [[Cuddy Buddy]]
 | single2date = May 19, 2008
 | single3     = [[Next to You (Mike Jones song)|Next to You]]
 | single3date = December 2, 2008
 | single4     = [[Swagg Thru the Roof|Swagg Thru Da Roof]]
 | single4date = April 21, 2009
 | single5     = Boi!
 | single5date = September 23, 2009
}}
}}
'''''The Voice''''' is the third [[studio album]] by American rapper [[Mike Jones (rapper)|Mike Jones]]. It was released on April 28, 2009 by [[Asylum Records]], [[Ice Age Entertainment]], [[Warner Bros. Records]] and [[Swishahouse]].<ref>{{cite web |url=http://www.asylumrecords.com/mikejones/main |title=Archived copy |accessdate=February 10, 2010 |url-status=dead |archiveurl=https://web.archive.org/web/20100727000818/http://www.asylumrecords.com/mikejones/main |archivedate=July 27, 2010}} Mike Jones @ Asylum Records - Official Release Date</ref><ref>{{cite web|url=http://keepittrill.com/media/2009/03/mike-jones-explains-weight-loss-talks-album-voice/ |title=Mike Jones Explains Weight Loss, Talks New Album The Voice |website=Keepittrill.com |date=March 31, 2009 |accessdate=March 13, 2012}}</ref> Production was handled by several producers, including [[Jim Jonsin]], [[Mr. Collipark]], [[J.R. Rotem]] and Big E, among others. 

The album sold 25,000 copies in its first week, debuting at number 12 on the US [[Billboard 200|''Billboard'' 200]] on April 22, 2009. As of February 1, 2014, the album has sold 200,000 copies in the United States.

==Singles==
The album's lead single \"[[Drop & Gimme 50]]\" features [[Hurricane Chris (rapper)|Hurricane Chris]]. The album's second single \"[[Cuddy Buddy]]\" featuring [[T-Pain]], [[Twista]] and [[Lil Wayne]]. The album's third single \"[[Next to You (Mike Jones song)|Next to You]]\" featuring Nae Nae. The album's fourth single \"[[Swagg Thru The Roof]]\" featuring Swole. The album's fifth single \"Boi!\" featuring Young Problemz.

==Critical reception==
{{Album ratings
|rev1 = [[AllMusic]]
|rev1score = {{Rating|2.5|5}}<ref name=\"AM\">{{cite web|url={{Allmusic|class=album|id=mw0000818919|pure_url=yes}}|title=The Voice - Mike Jones|last=Jeffries|first=David|website=[[AllMusic]]|accessdate=August 9, 2011}}</ref>
|rev2 = DJBooth
|rev2score = {{Rating|2.5|5}}<ref name=\"DJB\">{{cite web|url=http://www.djbooth.net/index/albums/review/mike-jones-the-voice-04270901/|title=Mike Jones - The Voice|last=Slavik|first=Nathan|website=DJBooth|date=April 27, 2009|accessdate=August 9, 2011|archiveurl=https://web.archive.org/web/20120925125410/http://www.djbooth.net/index/albums/review/mike-jones-the-voice-04270901/|archivedate=September 25, 2012|url-status=dead}}</ref>
|rev3 = ''RapReviews''
|rev3score = 7/10<ref name=\"RR\">{{cite web|url=https://www.rapreviews.com/archive/2009_05F_thevoice.html|title=Feature for May 5, 2009 - Mike Jones' \"The Voice\"|last=Juon|first=Steve 'Flash'|website=RapReviews|date=May 5, 2009|accessdate=August 9, 2011}}</ref>
|rev4 = The Smoking Section
